Time,F_Scale,Location,County,State,Lat,Lon,Comments
2128,100,La Porte City,Black Hawk,IA,42.32,-92.19,Nickel to quarter sized hail in La Porte City. (DMX)
2129,100,6 NW Lake Arrowhead,Clay,TX,33.79,-98.42,Report from mPING: Quarter (1.00 in.). (OUN)
2129,150,1 ESE Weatherby,DeKalb,MO,39.91,-94.23,Social media report and photos. Time estimated from radar. (EAX)
2131,100,3 WSW Columbus,Cherokee,KS,37.15,-94.89,Quarter size hail. (SGF)
2131,150,Columbus,Cherokee,KS,37.17,-94.84,Ping Pong size hail... 40mph wind gust... torrential rainfall. (SGF)
2131,100,Le Grand,Marshall,IA,42.01,-92.78,(DMX)
2132,175,1 SSE Bartlesville,Washington,OK,36.73,-95.98,(TSA)
2132,100,Bartlesville,Washington,OK,36.74,-95.98,Hail starting to cover the ground. Relayed by HAM Radio. (TSA)
2132,250,Osawatomie,Miami,KS,38.5,-94.95,Several social media photos and videos of hail up to tennis ball size in Osawatomie. Multiple homes and vehicles were damaged... with many windows and windshields crack (EAX)
2134,200,3 SSE Bartlesville,Washington,OK,36.7,-95.95,Sporadic two inch hail stones. (TSA)
2134,150,3 E Bartlesville,Washington,OK,36.73,-95.92,Report from mPING: Ping Pong Ball (1.50 in.). (TSA)
2135,150,1 ENE Osawatomie,Miami,KS,38.51,-94.93,Report of ping pong sized hail. Time estimated from radar. (EAX)
2135,100,Winterset,Madison,IA,41.34,-94.01,(DMX)
2135,125,Winterset,Madison,IA,41.34,-94.02,Picture on social media of a measured half dollar size hail stone. (DMX)
2135,200,3 E Montour,Tama,IA,42,-92.67,Delayed report. Time estimated by radar. (DMX)
2137,275,4 NNE Osawatomie,Miami,KS,38.55,-94.93,Photo from social media shows hail approximately baseball sized. Time estimated from radar. (EAX)
2138,175,3 ENE Montour,Tama,IA,42,-92.65,Ping Pong to Golf Ball. (DMX)
2139,250,3 W Toledo,Tama,IA,42,-92.63,(DMX)
2140,250,1 WSW Paola,Miami,KS,38.57,-94.88,Measured 2.5 inch hail in downtown Paola. Time estimated from radar. (EAX)
2140,400,Paola,Miami,KS,38.58,-94.87,Time estimated from radar. (EAX)
2140,200,3 W Toledo,Tama,IA,42,-92.63,(DMX)
2146,200,5 E West Farmington,Trumbull,OH,41.39,-80.87,Time estimated via radar. (CLE)
2147,100,2 S Hamilton,Caldwell,MO,39.72,-94,Taken from social media... time estimated from radar. (EAX)
2148,200,4 NE Coffey,Harrison,MO,40.15,-93.97,photo relayed via social media. (EAX)
2148,125,2 W Grafton,Lorain,OH,41.27,-82.07,Time estimated via radar. (CLE)
2148,200,Bristolville,Trumbull,OH,41.39,-80.87,Corrects previous hail report from Bristolville. Social media images of large hail and damaged vehicles. (CLE)
2150,200,3 SSE Hillsdale,Miami,KS,38.62,-94.84,Report relayed via social media. Time estimated from radar. (EAX)
2152,300,4 NNW Coffey,Harrison,MO,40.15,-94.03,EM passed along report of estimated 3 inch hail from deputy. Time estimated from radar. (EAX)
2153,100,3 E Hamilton,Caldwell,MO,39.74,-93.95,Social media report. Time estimated from radar. (EAX)
2153,100,Grafton,Lorain,OH,41.28,-82.05,(CLE)
2156,125,1 N East Lynne,Cass,MO,38.68,-94.23,Social media report. Time estimated from radar. (EAX)
2200,125,2 WNW Kingsville,Johnson,MO,38.76,-94.1,Taken from social media... estimated ping pongs. Time estimated from radar. (EAX)
2200,100,I271 in Bedford,Cuyahoga,OH,41.39,-81.51,Significant accumulation of hail on I271 creating a slush and slowing traffic. (CLE)
2201,175,4 SSE Woodson,Throckmorton,TX,32.96,-99.02,Reported Golfball size hail along county line southeast of Woodson by Woodson VFD. (SJT)
